title,rating
Storm Rising,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/rising_storm (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A756CFFB0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Bob Ballard: An Explorer's Life,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/bob_ballard_das_leben_eines_entdeckers (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75C24650>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
"McFarland, USA","Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/mcfarland_usa (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A756CEC60>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Rookie of the Year,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/rookie_of_the_year (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A7508BAA0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Thumbelina,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/1048880-thumbelina (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A756C6120>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
PJ Masks,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/pj_masks_we_can_all_be_heroes (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75948500>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
The Wild Life of Dr. Ole,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/the_strange_life_of_dr_frankenstein (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A7598E390>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Lost Cities with Albert Lin: The Great Flood,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/di_yi_lei_xing_wei_xian (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A750A5C10>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Megacity of the Maya Warriors,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/twilight_of_the_warriors_walled_in (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A753703E0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Apollo: Back To The Moon,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/to_the_moon_and_back (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75714D70>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
